[2019-10-29 14:43:53] | INFO [django.utils.autoreload:597] | Watching for file changes with StatReloader
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /merlin/ HTTP/1.1" 200 5957
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/dashboard.css HTTP/1.1" 200 1629
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/bootstrap-theme.min.css HTTP/1.1" 200 23414
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121265
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/handsontable.full.css HTTP/1.1" 200 33634
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/simple-sidebar.css HTTP/1.1" 200 2275
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/jquery-ui.min.css HTTP/1.1" 200 20217
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/merlin.css HTTP/1.1" 200 852
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/pikaday.css HTTP/1.1" 200 4482
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/css/select2.css HTTP/1.1" 200 19915
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/jquery-ui.min.js HTTP/1.1" 200 78165
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/jquery.cookie.js HTTP/1.1" 200 3238
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/bootstrap.min.js HTTP/1.1" 200 36874
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/select2.min.js HTTP/1.1" 200 70164
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/pikaday.js HTTP/1.1" 200 39874
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/moment.js HTTP/1.1" 200 136078
[2019-10-29 14:44:01] | INFO [django.server:154] | "GET /static/js/merlin.js HTTP/1.1" 200 8749
